config,workload,total_energy,nrh,baseline_energy,ramulator.hydra_baseline_energy,normalized_energy
Hydra-Baseline,470.lbm,15467322.146999996,,15467322.146999996,15467322.146999996,1.0
REGA,470.lbm,65211785.6900625,125,15467322.146999996,15467322.146999996,4.216100568042466
REGA,470.lbm,31968804.567937497,250,15467322.146999996,15467322.146999996,2.066860977233741
REGA,470.lbm,20815816.995375004,500,15467322.146999996,15467322.146999996,1.3457932017930065
REGA,470.lbm,16889381.937,1000,15467322.146999996,15467322.146999996,1.0919396244860538
Graphene,470.lbm,16103886.775499998,125,15467322.146999996,15467322.146999996,1.0411554516321668
Graphene,470.lbm,15782450.511187498,250,15467322.146999996,15467322.146999996,1.0203738152727764
Graphene,470.lbm,15587397.1160625,500,15467322.146999996,15467322.146999996,1.0077631388239878
Graphene,470.lbm,15467322.146999996,1000,15467322.146999996,15467322.146999996,1.0
Hydra,470.lbm,16619902.531499999,125,15467322.146999996,15467322.146999996,1.074517125430374
Hydra,470.lbm,16277278.896562502,250,15467322.146999996,15467322.146999996,1.052365674023257
Hydra,470.lbm,16081971.0105,500,15467322.146999996,15467322.146999996,1.0397385441163272
Hydra,470.lbm,15986793.524062503,1000,15467322.146999996,15467322.146999996,1.0335850881054587
PARA,470.lbm,34181407.349625,125,15467322.146999996,15467322.146999996,2.2099111290738027
PARA,470.lbm,22566047.2395,250,15467322.146999996,15467322.146999996,1.4589498443902815
PARA,470.lbm,18693264.647625,500,15467322.146999996,15467322.146999996,1.2085650295484858
PARA,470.lbm,17036664.617624998,1000,15467322.146999996,15467322.146999996,1.1014618080434426
ABACuS,470.lbm,15988334.351999998,125,15467322.146999996,15467322.146999996,1.0336847063795755
ABACuS,470.lbm,15718553.6540625,250,15467322.146999996,15467322.146999996,1.0162427280349386
ABACuS,470.lbm,15583248.185624998,500,15467322.146999996,15467322.146999996,1.0074949003792157
ABACuS,470.lbm,15520016.152125001,1000,15467322.146999996,15467322.146999996,1.0034067956058719
Baseline,401.bzip2,3207866.962875,,3207866.962875,3207866.962875,1.0
Hydra-Baseline,401.bzip2,3207866.962875,,3207866.962875,3207866.962875,1.0
REGA,401.bzip2,3823136.5213124994,125,3207866.962875,3207866.962875,1.191800210407128
REGA,401.bzip2,3398340.8197499993,250,3207866.962875,3207866.962875,1.0593771060581296
REGA,401.bzip2,3271517.0041875,500,3207866.962875,3207866.962875,1.0198418581721527
REGA,401.bzip2,3226199.1678750003,1000,3207866.962875,3207866.962875,1.0057147647368674
Graphene,401.bzip2,3212583.196125,125,3207866.962875,3207866.962875,1.001470208491992
Graphene,401.bzip2,3209623.7641875,250,3207866.962875,3207866.962875,1.0005476540432727
Graphene,401.bzip2,3207952.1544375,500,3207866.962875,3207866.962875,1.000026557074681
Graphene,401.bzip2,3207866.962875,1000,3207866.962875,3207866.962875,1.0
Hydra,401.bzip2,3225808.3190625003,125,3207866.962875,3207866.962875,1.0055929240193366
Hydra,401.bzip2,3219917.8284374997,250,3207866.962875,3207866.962875,1.0037566600180012
Hydra,401.bzip2,3217180.8001875,500,3207866.962875,3207866.962875,1.0029034362772178
Hydra,401.bzip2,3213528.2773125004,1000,3207866.962875,3207866.962875,1.0017648220774176
PARA,401.bzip2,3425614.8041250003,125,3207866.962875,3207866.962875,1.0678793241022835
PARA,401.bzip2,3290040.1256250003,250,3207866.962875,3207866.962875,1.0256161379823414
PARA,401.bzip2,3246595.377,500,3207866.962875,3207866.962875,1.0120729489636595
PARA,401.bzip2,3226969.218375,1000,3207866.962875,3207866.962875,1.0059548153714204
ABACuS,401.bzip2,3215039.77125,125,3207866.962875,3207866.962875,1.0022360055632018
