config,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,ipc0,ipc1,ipc2,ipc3,ipc4,ipc5,ipc6,ipc7,nrh
PARA,519.lbm,519.lbm,519.lbm,519.lbm,519.lbm,519.lbm,519.lbm,519.lbm,0.13135191319105477,0.13137936068396222,0.13138424628786294,0.1314123407279145,0.13137293386502588,0.13141243398167848,0.13140998179708932,0.13142237213764965,500
PARA,h264_encode,h264_encode,h264_encode,h264_encode,h264_encode,h264_encode,h264_encode,h264_encode,2.344581227313246,2.341117267313077,2.337248068030747,2.3417497066724318,2.335705756384208,2.3344215784219515,2.3344948223239337,2.330465183223037,500
PARA,bfs_cm2003,bfs_cm2003,bfs_cm2003,bfs_cm2003,bfs_cm2003,bfs_cm2003,bfs_cm2003,bfs_cm2003,0.02758391002811747,0.027614672451335233,0.027618868627735965,0.027342417317763174,0.026335600248780407,0.024121619639280844,0.013852723299420668,0.0022240957607539036,500
PARA,435.gromacs,435.gromacs,435.gromacs,435.gromacs,435.gromacs,435.gromacs,435.gromacs,435.gromacs,3.2489034301142676,3.24885318731341,3.24887007547645,3.248861631372983,3.2488865416044614,3.248895408050217,3.2488780974154006,3.2488447432977305,500
PARA,ycsb_cserver,ycsb_cserver,ycsb_cserver,ycsb_cserver,ycsb_cserver,ycsb_cserver,ycsb_cserver,ycsb_cserver,1.5359580685904808,1.5359949668516926,1.5360314893828275,1.5359834536489652,1.535986850969524,1.5359672222137233,1.535990531417089,1.5360112932465515,500
PARA,508.namd,508.namd,508.namd,508.namd,508.namd,508.namd,508.namd,508.namd,2.753792550638665,2.7538501854828255,2.7538156042868316,2.753824704517363,2.7537946739848578,2.7538271312556626,2.753774350662762,2.7538328947762656,500
PARA,jp2_decode,jp2_decode,jp2_decode,jp2_decode,jp2_decode,jp2_decode,jp2_decode,jp2_decode,0.4691118112802964,0.46703099318549474,0.4659806971037678,0.46629714296756203,0.4656800334842571,0.46587341220557776,0.4646946389294774,0.4646746954647508,500
PARA,483.xalancbmk,483.xalancbmk,483.xalancbmk,483.xalancbmk,483.xalancbmk,483.xalancbmk,483.xalancbmk,483.xalancbmk,0.41104241441447487,0.4117158657245027,0.41067780696474077,0.41028600134524573,0.4108475722967651,0.41194458027172687,0.4098780612767702,0.4108811113696375,500
PARA,jp2_encode,jp2_encode,jp2_encode,jp2_encode,jp2_encode,jp2_encode,jp2_encode,jp2_encode,2.806018798081132,2.806020372830315,2.803288010146557,2.8031220500644327,2.8020390774611372,2.7976134790360274,2.7909887680564416,2.7734958084157846,500
PARA,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,541.leela,3.46220970410294,3.4622547754187667,3.4622432677372106,3.462262926739486,3.462182374195718,3.462265803685374,3.462254295930508,3.462248062595229,500
PARA,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,401.bzip2,2.311358905222081,2.3116016884678445,2.3105586801497315,2.311704715785152,2.3116247726285875,2.31161173429595,2.311403140974974,2.30454295474486,500
PARA,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,ycsb_bserver,1.4772676575587207,1.4813249657828746,1.4832543549831116,1.4984404531451756,1.4955783823357596,1.4745961007550228,1.4983941110953747,1.4965984114026911,500
PARA,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,531.deepsjeng,3.2097700263971487,3.209776620089812,3.209748184983694,3.2097395309209618,3.2097073876679447,3.20977085060725,3.209726343867484,3.209725107586776,500
PARA,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,450.soplex,0.24524518632748277,0.23686528913899504,0.22821318342830882,0.2397552647307145,0.23091889250079906,0.22434883177839102,0.24048525615195673,0.23693565469240307,500
PARA,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,grep_map0,0.061263459557559415,0.061237145989314394,0.06114443790057647,0.0608432938449729,0.05924314357949552,0.05539754059560582,0.047206244655037546,0.04144334354604518,500
PARA,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,511.povray,3.0549671688788296,3.054670787132456,3.0550157003366873,3.055237844766787,3.0577650966143692,3.057937518997437,3.0579809081689557,3.054736478881018,500
PARA,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,456.hmmer,2.8802208322916534,2.878728385067921,2.869115429907682,2.869109832278725,2.8786279491975133,2.880257001875969,2.8786392188800964,2.8691190519145287,500
PARA,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,436.cactusADM,0.8568477489855608,0.8512979330962911,0.8567385450886589,0.8541384665734106,0.852520239086232,0.8570039245637722,0.8503449951686799,0.8550259691907467,500
PARA,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,tpch6,2.5883797074344064,2.5883842632448917,2.588400878689623,2.5884083825087787,2.5884333062203573,2.5884325022221693,2.588437058218505,2.588369523916017,500
PARA,gups,gups,gups,gups,gups,gups,gups,gups,0.09509415131182039,0.09499487037199478,0.09507263553157518,0.09502932431995144,0.09503616240022723,0.09508802026083808,0.09508166507164004,0.0951040724054541,500
PARA,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,wc_8443,0.6467719611419406,0.6407494615782274,0.640530560174208,0.6427945787425159,0.6333588002684529,0.629015129373819,0.6113327097087606,0.5965674890715398,500
PARA,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,447.dealII,3.5568303235435135,3.5568207087776216,3.556810081991586,3.556851071373339,3.5567802261230144,3.5567999613020165,3.5568404444058723,3.5567898406700422,500
PARA,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,458.sjeng,3.358110367118028,3.3581451003454053,3.358104503137544,3.35813833407593,3.3580869113189693,3.3581248016187772,3.3581320189156862,3.3580801452839792,500
PARA,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,ycsb_dserver,1.7572670196055469,1.75725775569225,1.757257138101503,1.7572702311182895,1.7572567675472632,1.7572790010782664,1.7572681312817064,1.7572552853318668,500
