config,wl0,wl1,wl2,wl3,wl4,wl5,wl6,wl7,ipc0,ipc1,ipc2,ipc3,ipc4,ipc5,ipc6,ipc7,nrh,workload,ramulator.baseline_ipc,normalized_ipc0,normalized_ipc1,normalized_ipc2,normalized_ipc3,normalized_ipc4,normalized_ipc5,normalized_ipc6,normalized_ipc7,weighted_speedup,baseline_weighted_speedup,normalized_weighted_speedup
Hydra,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,500,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
Hydra,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,1000,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
PARA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.221147976343175,2.221105746400365,2.2211594221182875,2.220914547736515,2.223705483195191,2.22107062178339,2.2207298917349765,2.2206864941400526,125,502.gcc,2.93202888541033,0.7575464168840653,0.7575320139076758,0.757550320588824,0.7574668035460721,0.758418682114719,0.7575200342791156,0.7574038246298488,0.7573890234131418,6.060827119363463,7.378245747569529,0.8214455477252114
PARA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.541796022902599,2.541827551641548,2.541469927243816,2.541813079336392,2.54183039443514,2.541858305837205,2.5417944723290598,2.5416652645146622,250,502.gcc,2.93202888541033,0.8669068833361379,0.8669176365518056,0.8667956649029206,0.8669127006164101,0.8669186061171487,0.8669281256011495,0.8669063544963481,0.8668622867809718,6.935148258402892,7.378245747569529,0.9399454146247977
PARA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.6332054367897983,2.633220691174087,2.6334359355086288,2.6331998897847853,2.633345506411828,2.633367142256284,2.6334739397739257,2.633213202636078,500,502.gcc,2.93202888541033,0.8980830475076605,0.8980882501795594,0.898161661575884,0.8980811556419152,0.8981308197594029,0.8981381988969563,0.8981746233394894,0.8980856961330949,7.184943453033963,7.378245747569529,0.9738010495788594
PARA,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.6766864677224804,2.6767939417942936,2.6766996507442298,2.67676528119794,2.6767291697203683,2.6765987752740514,2.6766890469991265,2.676809991996338,1000,502.gcc,2.93202888541033,0.9129127209631447,0.9129493761517575,0.9129172171745615,0.9129396011469831,0.9129272849389978,0.9128828125100372,0.9129136006531978,0.912954850245865,7.3033974637845445,7.378245747569529,0.9898555447533528
ABACuS,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.687827538663861,2.688104695871598,2.6880671216811645,2.687873197754142,2.687836496970647,2.687994866574924,2.6880911112353605,2.6879613415249493,125,502.gcc,2.93202888541033,0.9167125030856258,0.9168070305335362,0.9167942154515905,0.916728075609658,0.9167155584125466,0.9167695720701422,0.9168023973471766,0.9167581379911187,7.334087490501394,7.378245747569529,0.9940150736938139
ABACuS,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.70123323182459,2.701245490270654,2.701281098768778,2.70127350999374,2.7012866444390395,2.7012702993709823,2.701148885057579,2.701222140945449,250,502.gcc,2.93202888541033,0.9212846589833509,0.9212888398582818,0.9213009845197144,0.9212983962863326,0.9213028759302286,0.9212973012688948,0.9212558916108906,0.921280876319682,7.370309824777375,7.378245747569529,0.9989244160382205
ABACuS,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,500,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
ABACuS,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,502.gcc,2.7042700098943837,2.703978103401637,2.70412346378746,2.704274105223305,2.703990386773377,2.704309501083022,2.704264744489709,2.7040193408768984,1000,502.gcc,2.93202888541033,0.9223203848197861,0.9222208269695208,0.9222704036931836,0.9223217815757804,0.9222250163456219,0.9223338537145963,0.922318588996866,0.922234891454174,7.378245747569529,7.378245747569529,1.0
